ID	TOPIC	IRONY_BINARY	IRONY_CATEGORY	IRONY_TYPE	IRONY_TRIGGER
004679bc389ad2947ba515cdb26f933e	FRANCO	0			
0094bebcc998ff544c5cd84c3e29db7e	FRANCO	0			
0099489b8da38117412f073f9a13f8b0	FRANCO	0			
00d5525a528d86ee154e7e1e949fafb4	FRANCO	0			
02f18e41873108a6545dbf2f5f8c5b1f	FRANCO	0			
04702c7bbefc5390de770e33881d2030	FRANCO	0			
048131acbf86cbc9e98ac02df8cf7de3	FRANCO	0			
049d5d96b35f5f812a27f03eb1934d46	FRANCO	0			
09562cded2c9c740ccb9aa72a20ed637	FRANCO	1	contrast	E	@iescolar <tr><pt1>seguid defendiendo la chapuza jurídica de la exhumación de Franco, </pt1><pt2>que vais bien... 😂😂😂😂</pt2></tr>
09d0848a7425a481cc1071ad7f3e2b05	FRANCO	0			
0bd8dcbdc838efae087726e04df3f918	FRANCO	0			
0c7103b694bbc1d336c535fb7d6b283a	FRANCO	0			
0c99f2a8a8afdc1c868148d918fdc7bf	FRANCO	0			
0d130b8f1b2bc64630a756cc7e5cd35b	FRANCO	0			
0e6dd40a39274164f957af6333a5fd79	FRANCO	0			
0fe39c1dd51498888020b39be2be5bf8	FRANCO	0			
112646ae104bdc25e3bd33bc1f704323	FRANCO	0			
11c61aad8259a9ccd2e4c4910e21d23b	FRANCO	0			
1265e7512a71c31dc27a25437bf6e2de	FRANCO	0			
12742808444a2ec2a569dfd14958787c	FRANCO	1	hyperbole	E	A mí lo que más me preocupa es que logren levantar la lápida y <tr>se escuche “¡cuánto sus habéis retrasau, cabrones!”</tr>. https://t.co/WyvtPbrWMW https://t.co/WyvtPbrWMW
12d4e8e2efac9d3ef9e178095fef1fc1	FRANCO	NV			
1331eb384254694d2a01defa672df665	FRANCO	0			
13db435f05983bc2d70723e87c4f7297	FRANCO	0			
13dd61261886d169418ae7067191666b	FRANCO	0			
14c526bed7cb948afb87f78807af1157	FRANCO	0			
15d1b40422abe13dc78e7627ab135b3c	FRANCO	1	hyperbole	E	El único peligro que puede entrañar la exhumación de los restos del criminal Franco es <tr>que su pestilencia intoxique a los operarios.</tr>
173ab06627277fe1d40f92988a77ce99	FRANCO	0			
18e47f63b3f67d616966d6175e27f727	FRANCO	1	rhetorical question	E	<tr>¿A lo de la exhumación de Franco se le puede llamar cortina de humo ya? ¿o aún no? </tr><tr>Ya han entretenido bastante a la derecha?</tr>
18f9a8347cfc57fa865535e828707e58	FRANCO	0			
19428e1c90bc8de46b7216fa62638fe5	FRANCO	0			
19f2d8543b8d147d6d41a82de3049fae	FRANCO	0			
1a50d42603ad58d8f818838abe070ec5	FRANCO	0			
1bfe295816cb48ce03b47d4c708093e4	FRANCO	0			
